"","X1","X2","intercept.M.vs.rest","coeff.M.vs.rest","pVal.M.vs.rest","pValHolm.M.vs.rest","qValBH.M.vs.rest","notMiss1.M.vs.rest","notMiss0.M.vs.rest"
"ORM1_P02763","P02763","ORM1",26.2639431958214,0.634070389888943,0.00811019531627147,1,0.0287058228957503,19,40
"CORO1A_P31146","P31146","CORO1A",19.0248833095244,-0.898934434119932,0.00854624510897002,1,0.0298563627832849,17,39
"PROZ_P22891;P22891-2","P22891;P22891-2","PROZ",20.8537586615628,-0.53163682721203,0.00877367842575951,1,0.030167126087682,19,40
"CD44_P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8","P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8","CD44",19.0453912366164,0.373562216725523,0.00885949056106647,1,0.030167126087682,19,39
"PON3_Q15166","Q15166","PON3",22.5387737531323,-0.621042599078687,0.00927066791793947,1,0.0311726208740715,18,40
"APOE_P02649","P02649","APOE",25.9573246543935,0.28647044744343,0.00955027250754036,1,0.0317163370929427,19,40
"C8G_P07360","P07360","C8G",23.091600326581,-0.334394447201429,0.0100074378521787,1,0.0328292778321472,19,40
"LYZ_P61626","P61626","LYZ",21.9709375372313,-0.496957404391953,0.0103090626163681,1,0.0334112993229278,19,40
"B4GALT1_P15291;P15291-2","P15291;P15291-2","B4GALT1",16.9444238873408,0.493658026463619,0.011249943239946,1,0.0356887733720703,18,35
"IGF2_P01344-3","P01344-3","IGF2",19.5669621958396,-0.600232817721156,0.0112771216974943,1,0.0356887733720703,17,40
"SERPINA4_P29622","P29622","SERPINA4",22.5755439786448,-0.45972875170861,0.011661555139915,1,0.0364762596818273,19,40
"CRTAC1_Q9NQ79;Q9NQ79-2","Q9NQ79;Q9NQ79-2","CRTAC1",19.7249841766559,-0.387902115010141,0.0123438055318919,1,0.0381664791733211,19,40
"F2_P00734","P00734","F2",25.8541112921714,-0.2444465626105,0.0133878894848228,1,0.040641879174682,19,40
"APOL1_O14791;O14791-2","O14791;O14791-2","APOL1",23.7176623652932,-0.354309955436266,0.0134465696897647,1,0.040641879174682,19,40
"SAA4_P35542","P35542","SAA4",25.1240178900642,-0.388287221953511,0.0150629864494524,1,0.0450215928322522,19,40
"PCSK9_Q8NBP7","Q8NBP7","PCSK9",18.409124633672,0.399197798374776,0.0161855021348965,1,0.0470530788899221,18,35
"SHBG_P04278","P04278","SHBG",21.2835776941111,-0.776966511864198,0.01626201887168,1,0.0470530788899221,19,40
